time,data,Grams,Newtons,multiplier,offset,,,,,
34,-2633729,-2362.23919,,0.00111,561.2,,,,,
85,-2740225,-2480.44975,,0.00111,561.2,,,,,
135,-2732033,-2471.35663,,0.00111,561.2,,,,,
216,-2727937,-2466.81007,,0.00111,561.2,,,,,
301,-2711553,-2448.62383,,0.00111,561.2,,,,,
385,-2732033,-2471.35663,,0.00111,561.2,,,,,
469,-2703361,-2439.53071,,0.00111,561.2,,,,,
553,-2723841,-2462.26351,,0.00111,561.2,,,,,
638,-2736129,-2475.90319,,0.00111,561.2,,,,,
722,-2748417,-2489.54287,,0.00111,561.2,,,,,
806,-2699265,-2434.98415,,0.00111,561.2,,,,,
890,-2719745,-2457.71695,,0.00111,561.2,,,,,
974,-2732033,-2471.35663,,0.00111,561.2,,,,,
1059,-2695169,-2430.43759,,0.00111,561.2,,,,,
1143,-2732033,-2471.35663,,0.00111,561.2,,,,,
1227,-2695169,-2430.43759,,0.00111,561.2,,,,,
1311,-2744321,-2484.99631,,0.00111,561.2,,,,, 
1396,-2707457,-2444.07727,,0.00111,561.2,,,,,
1480,-2715649,-2453.17039,,0.00111,561.2,,,,,
1564,-2699265,-2434.98415,,0.00111,561.2,,,,,
1648,-2715649,-2453.17039,,0.00111,561.2,,,,,
1733,-2719745,-2457.71695,,0.00111,561.2,,,,,
1817,-2732033,-2471.35663,,0.00111,561.2,,,,,
1901,-2715649,-2453.17039,,0.00111,561.2,,,,,
1985,-2744321,-2484.99631,,0.00111,561.2,,,,,
2070,-2719745,-2457.71695,,0.00111,561.2,,,,,
2154,-3141633,-2926.01263,,0.00111,561.2,,,,,
2238,-2707457,-2444.07727,,0.00111,561.2,,,,,
2322,-2719745,-2457.71695,,0.00111,561.2,,,,,
2407,-2727937,-2466.81007,,0.00111,561.2,,,,,
2491,-2732033,-2471.35663,,0.00111,561.2,,,,,
2575,-2711553,-2448.62383,,0.00111,561.2,,,,,
2659,-2703361,-2439.53071,,0.00111,561.2,,,,,
2744,-2748417,-2489.54287,,0.00111,561.2,,,,,
2828,-2703361,-2439.53071,,0.00111,561.2,,,,,
2912,-2691073,-2425.89103,,0.00111,561.2,,,,,
2996,-2699265,-2434.98415,,0.00111,561.2,,,,,
3080,-2695169,-2430.43759,,0.00111,561.2,,,,,
3165,-2740225,-2480.44975,,0.00111,561.2,,,,,
3249,-2691073,-2425.89103,,0.00111,561.2,,,,,
3333,-2703361,-2439.53071,,0.00111,561.2,,,,,
3417,-2691073,-2425.89103,,0.00111,561.2,,,,,
3502,-2723841,-2462.26351,,0.00111,561.2,,,,,
3586,-2732033,-2471.35663,,0.00111,561.2,,,,,
3670,-2715649,-2453.17039,,0.00111,561.2,,,,,
3754,-2703361,-2439.53071,,0.00111,561.2,,,,,
