time,Data,Grams,Newtons,multiplier,offset
34,-428789,85.24421,,0.00111,561.2
86,-428758,85.27862,,0.00111,561.2
171,-428436,85.63604,,0.00111,561.2
255,-428478,85.58942,,0.00111,561.2
339,-428690,85.3541,,0.00111,561.2
423,-428511,85.55279,,0.00111,561.2
507,-428286,85.80254,,0.00111,561.2
592,-428209,85.88801,,0.00111,561.2
676,-428315,85.77035,,0.00111,561.2
760,-428422,85.65158,,0.00111,561.2
844,-428449,85.62161,,0.00111,561.2
928,-428572,85.48508,,0.00111,561.2
1013,-429060,84.9434,,0.00111,561.2
1097,-429368,84.60152,,0.00111,561.2
1181,-429378,84.59042,,0.00111,561.2
1265,-429341,84.63149,,0.00111,561.2
1349,-429381,84.58709,,0.00111,561.2
1433,-429416,84.54824,,0.00111,561.2
1518,-429380,84.5882,,0.00111,561.2
1602,-429349,84.62261,,0.00111,561.2
1686,-429320,84.6548,,0.00111,561.2
1770,-429334,84.63926,,0.00111,561.2
1854,-429361,84.60929,,0.00111,561.2
1939,-429329,84.64481,,0.00111,561.2
2023,-429282,84.69698,,0.00111,561.2
2107,-429239,84.74471,,0.00111,561.2
2191,-429276,84.70364,,0.00111,561.2
2275,-429300,84.677,,0.00111,561.2
2359,-429299,84.67811,,0.00111,561.2
2444,-429269,84.71141,,0.00111,561.2
2528,-429260,84.7214,,0.00111,561.2
2612,-429257,84.72473,,0.00111,561.2
2696,-429261,84.72029,,0.00111,561.2
2780,-429243,84.74027,,0.00111,561.2
2865,-429242,84.74138,,0.00111,561.2
2949,-429245,84.73805,,0.00111,561.2
3033,-429230,84.7547,,0.00111,561.2
3117,-429215,84.77135,,0.00111,561.2
3201,-429180,84.8102,,0.00111,561.2
3286,-429184,84.80576,,0.00111,561.2
3370,-429191,84.79799,,0.00111,561.2
3454,-429151,84.84239,,0.00111,561.2
3538,-429141,84.85349,,0.00111,561.2
3622,-429148,84.84572,,0.00111,561.2
3706,-429135,84.86015,,0.00111,561.2
3791,-429082,84.91898,,0.00111,561.2
3875,-429064,84.93896,,0.00111,561.2
3959,-429058,84.94562,,0.00111,561.2
4043,-429127,84.86903,,0.00111,561.2
4127,-429163,84.82907,,0.00111,561.2
4212,-429248,84.73472,,0.00111,561.2
4296,-429257,84.72473,,0.00111,561.2
4380,-429137,84.85793,,0.00111,561.2
4464,-429046,84.95894,,0.00111,561.2
4548,-429115,84.88235,,0.00111,561.2
4632,-429132,84.86348,,0.00111,561.2
4717,-429110,84.8879,,0.00111,561.2
4801,-429118,84.87902,,0.00111,561.2
4885,-429128,84.86792,,0.00111,561.2
4969,-429099,84.90011,,0.00111,561.2
5053,-429085,84.91565,,0.00111,561.2
5138,-429060,84.9434,,0.00111,561.2
5222,-429037,84.96893,,0.00111,561.2
5306,-429054,84.95006,,0.00111,561.2
5390,-429123,84.87347,,0.00111,561.2
5474,-429171,84.82019,,0.00111,561.2
5558,-429242,84.74138,,0.00111,561.2
5643,-429262,84.71918,,0.00111,561.2
5727,-429215,84.77135,,0.00111,561.2
5811,-429149,84.84461,,0.00111,561.2
5895,-429150,84.8435,,0.00111,561.2
5979,-429119,84.87791,,0.00111,561.2
6064,-429136,84.85904,,0.00111,561.2
6148,-429178,84.81242,,0.00111,561.2
6232,-429139,84.85571,,0.00111,561.2
6316,-429147,84.84683,,0.00111,561.2
6400,-429115,84.88235,,0.00111,561.2
6485,-429100,84.899,,0.00111,561.2
6569,-429105,84.89345,,0.00111,561.2
6653,-429091,84.90899,,0.00111,561.2
6737,-429091,84.90899,,0.00111,561.2
6821,-429110,84.8879,,0.00111,561.2
6905,-429084,84.91676,,0.00111,561.2
6990,-429005,85.00445,,0.00111,561.2
7074,-428984,85.02776,,0.00111,561.2
7158,-428992,85.01888,,0.00111,561.2
7242,-428929,85.08881,,0.00111,561.2
7326,-428951,85.06439,,0.00111,561.2
7411,-428981,85.03109,,0.00111,561.2
7495,-429022,84.98558,,0.00111,561.2
7579,-428999,85.01111,,0.00111,561.2
7663,-428979,85.03331,,0.00111,561.2
7747,-428956,85.05884,,0.00111,561.2
7832,-428798,85.23422,,0.00111,561.2
7916,-428346,85.73594,,0.00111,561.2
8000,-428030,86.0867,,0.00111,561.2
8084,-427971,86.15219,,0.00111,561.2
8168,-427926,86.20214,,0.00111,561.2
8252,-427909,86.22101,,0.00111,561.2
8337,-427868,86.26652,,0.00111,561.2
8421,-421658,93.15962,,0.00111,561.2
8505,-377338,142.35482,,0.00111,561.2
8589,-237445,297.63605,,0.00111,561.2
8673,115550,689.4605,,0.00111,561.2
8758,251975,840.89225,,0.00111,561.2
8842,-217024,320.30336,,0.00111,561.2
8926,-426880,87.3632,,0.00111,561.2
9010,-430405,83.45045,,0.00111,561.2
9094,-428970,85.0433,,0.00111,561.2
9179,-427956,86.16884,,0.00111,561.2
9263,-427261,86.94029,,0.00111,561.2
9347,-427073,87.14897,,0.00111,561.2
9431,-427103,87.11567,,0.00111,561.2
9515,-426776,87.47864,,0.00111,561.2
9599,-426536,87.74504,,0.00111,561.2
9684,-426327,87.97703,,0.00111,561.2
9768,-426119,88.20791,,0.00111,561.2
9852,-426001,88.33889,,0.00111,561.2
9936,-425953,88.39217,,0.00111,561.2
10020,-425772,88.59308,,0.00111,561.2
10105,-425584,88.80176,,0.00111,561.2
10189,-425600,88.784,,0.00111,561.2
10273,-425578,88.80842,,0.00111,561.2
10357,-425519,88.87391,,0.00111,561.2
10441,-425502,88.89278,,0.00111,561.2
10526,-425411,88.99379,,0.00111,561.2
10610,-425368,89.04152,,0.00111,561.2
10694,-425386,89.02154,,0.00111,561.2
10778,-425368,89.04152,,0.00111,561.2
10862,-425318,89.09702,,0.00111,561.2
10946,-425266,89.15474,,0.00111,561.2
11031,-425237,89.18693,,0.00111,561.2
11115,-425258,89.16362,,0.00111,561.2
11199,-425277,89.14253,,0.00111,561.2
11283,-425244,89.17916,,0.00111,561.2
11367,-425186,89.24354,,0.00111,561.2
11452,-425222,89.20358,,0.00111,561.2
11536,-425266,89.15474,,0.00111,561.2
11620,-425274,89.14586,,0.00111,561.2
11704,-425327,89.08703,,0.00111,561.2
11788,-425313,89.10257,,0.00111,561.2
11873,-425281,89.13809,,0.00111,561.2
11957,-425331,89.08259,,0.00111,561.2
12041,-425323,89.09147,,0.00111,561.2
12125,-425286,89.13254,,0.00111,561.2
12209,-425292,89.12588,,0.00111,561.2
12294,-425238,89.18582,,0.00111,561.2
12378,-425260,89.1614,,0.00111,561.2
12462,-425298,89.11922,,0.00111,561.2
12546,-425310,89.1059,,0.00111,561.2
12630,-425272,89.14808,,0.00111,561.2
12715,-425277,89.14253,,0.00111,561.2
12799,-425354,89.05706,,0.00111,561.2
12883,-425354,89.05706,,0.00111,561.2
12967,-425337,89.07593,,0.00111,561.2
13051,-425281,89.13809,,0.00111,561.2
13135,-425260,89.1614,,0.00111,561.2
