time,data,Grams,Newtons,multiplier,offset
12747,-432380,81.2582,,0.00111,561.2
12831,-432469,81.15941,,0.00111,561.2
12915,-432487,81.13943,,0.00111,561.2
12999,-432445,81.18605,,0.00111,561.2
13083,-432494,81.13166,,0.00111,561.2
13168,-432512,81.11168,,0.00111,561.2
13252,-432522,81.10058,,0.00111,561.2
13336,-432522,81.10058,,0.00111,561.2
13420,-432505,81.11945,,0.00111,561.2
13504,-432456,81.17384,,0.00111,561.2
13589,-432420,81.2138,,0.00111,561.2
13673,-432448,81.18272,,0.00111,561.2
13757,-432450,81.1805,,0.00111,561.2
13841,-432464,81.16496,,0.00111,561.2
13925,-432434,81.19826,,0.00111,561.2
14009,-432416,81.21824,,0.00111,561.2
14094,-432389,81.24821,,0.00111,561.2
14178,-432371,81.26819,,0.00111,561.2
14262,-432434,81.19826,,0.00111,561.2
14346,-432437,81.19493,,0.00111,561.2
14430,-432447,81.18383,,0.00111,561.2
14514,-432473,81.15497,,0.00111,561.2
14599,-432469,81.15941,,0.00111,561.2
14683,-432435,81.19715,,0.00111,561.2
14767,-432468,81.16052,,0.00111,561.2
14851,-432455,81.17495,,0.00111,561.2
14935,-432422,81.21158,,0.00111,561.2
15019,-432407,81.22823,,0.00111,561.2
15104,-432451,81.17939,,0.00111,561.2
15188,-432479,81.14831,,0.00111,561.2
15272,-432510,81.1139,,0.00111,561.2
15356,-432487,81.13943,,0.00111,561.2
15440,-432503,81.12167,,0.00111,561.2
15525,-432474,81.15386,,0.00111,561.2
15609,-432380,81.2582,,0.00111,561.2
15693,-432329,81.31481,,0.00111,561.2
15777,-432349,81.29261,,0.00111,561.2
15861,-432376,81.26264,,0.00111,561.2
15945,-432385,81.25265,,0.00111,561.2
16030,-432412,81.22268,,0.00111,561.2
16114,-432402,81.23378,,0.00111,561.2
16198,-432384,81.25376,,0.00111,561.2
16282,-432453,81.17717,,0.00111,561.2
16366,-432459,81.17051,,0.00111,561.2
16451,-432454,81.17606,,0.00111,561.2
16535,-432475,81.15275,,0.00111,561.2
16619,-432453,81.17717,,0.00111,561.2
16703,-432467,81.16163,,0.00111,561.2
16787,-432513,81.11057,,0.00111,561.2
16871,-432480,81.1472,,0.00111,561.2
16956,-432486,81.14054,,0.00111,561.2
17040,-432524,81.09836,,0.00111,561.2
17124,-432536,81.08504,,0.00111,561.2
17208,-432529,81.09281,,0.00111,561.2
17292,-432505,81.11945,,0.00111,561.2
17377,-432423,81.21047,,0.00111,561.2
17461,-432476,81.15164,,0.00111,561.2
17545,-432503,81.12167,,0.00111,561.2
17629,-432499,81.12611,,0.00111,561.2
17713,-432448,81.18272,,0.00111,561.2
17797,-432402,81.23378,,0.00111,561.2
17882,-432407,81.22823,,0.00111,561.2
17966,-432399,81.23711,,0.00111,561.2
18050,-432398,81.23822,,0.00111,561.2
