time,data,Grams,Newtons,multiplier,offset
32,-451041,60.54449,,0.00111,561.2
,,561.2,,0.00111,561.2
83,-455945,55.10105,,0.00111,561.2
,,561.2,,0.00111,561.2
154,-461946,48.43994,,0.00111,561.2
,,561.2,,0.00111,561.2
238,-462956,47.31884,,0.00111,561.2
,,561.2,,0.00111,561.2
322,-463191,47.05799,,0.00111,561.2
,,561.2,,0.00111,561.2
407,-463666,46.53074,,0.00111,561.2
,,561.2,,0.00111,561.2
491,-464103,46.04567,,0.00111,561.2
,,561.2,,0.00111,561.2
575,-464586,45.50954,,0.00111,561.2
,,561.2,,0.00111,561.2
659,-464877,45.18653,,0.00111,561.2
,,561.2,,0.00111,561.2
743,-465082,44.95898,,0.00111,561.2
,,561.2,,0.00111,561.2
827,-465224,44.80136,,0.00111,561.2
,,561.2,,0.00111,561.2
911,-465252,44.77028,,0.00111,561.2
,,561.2,,0.00111,561.2
996,-465404,44.60156,,0.00111,561.2
,,561.2,,0.00111,561.2
1080,-465512,44.48168,,0.00111,561.2
,,561.2,,0.00111,561.2
1164,-465632,44.34848,,0.00111,561.2
,,561.2,,0.00111,561.2
1248,-465754,44.21306,,0.00111,561.2
,,561.2,,0.00111,561.2
1332,-465847,44.10983,,0.00111,561.2
,,561.2,,0.00111,561.2
1416,-465945,44.00105,,0.00111,561.2
,,561.2,,0.00111,561.2
1501,-466026,43.91114,,0.00111,561.2
,,561.2,,0.00111,561.2
1585,-466170,43.7513,,0.00111,561.2
,,561.2,,0.00111,561.2
1669,-466457,43.43273,,0.00111,561.2
,,561.2,,0.00111,561.2
1753,-466501,43.38389,,0.00111,561.2
,,561.2,,0.00111,561.2
1837,-466486,43.40054,,0.00111,561.2
,,561.2,,0.00111,561.2
1921,-466510,43.3739,,0.00111,561.2
,,561.2,,0.00111,561.2
2005,-466663,43.20407,,0.00111,561.2
,,561.2,,0.00111,561.2
2090,-466788,43.06532,,0.00111,561.2
,,561.2,,0.00111,561.2
2174,-466896,42.94544,,0.00111,561.2
,,561.2,,0.00111,561.2
2258,-467103,42.71567,,0.00111,561.2
,,561.2,,0.00111,561.2
2342,-467253,42.54917,,0.00111,561.2
,,561.2,,0.00111,561.2
2426,-467241,42.56249,,0.00111,561.2
,,561.2,,0.00111,561.2
2510,-467320,42.4748,,0.00111,561.2
,,561.2,,0.00111,561.2
2595,-467443,42.33827,,0.00111,561.2
,,561.2,,0.00111,561.2
2679,-467473,42.30497,,0.00111,561.2
,,561.2,,0.00111,561.2
2763,-467478,42.29942,,0.00111,561.2
,,561.2,,0.00111,561.2
2847,-467480,42.2972,,0.00111,561.2
,,561.2,,0.00111,561.2
2931,-467502,42.27278,,0.00111,561.2
,,561.2,,0.00111,561.2
3015,-467518,42.25502,,0.00111,561.2
,,561.2,,0.00111,561.2
3099,-467522,42.25058,,0.00111,561.2
,,561.2,,0.00111,561.2
3184,-467520,42.2528,,0.00111,561.2
,,561.2,,0.00111,561.2
3268,-467580,42.1862,,0.00111,561.2
,,561.2,,0.00111,561.2
3352,-467772,41.97308,,0.00111,561.2
,,561.2,,0.00111,561.2
3436,-467957,41.76773,,0.00111,561.2
,,561.2,,0.00111,561.2
3520,-468152,41.55128,,0.00111,561.2
,,561.2,,0.00111,561.2
3604,-468375,41.30375,,0.00111,561.2
,,561.2,,0.00111,561.2
3689,-468587,41.06843,,0.00111,561.2
,,561.2,,0.00111,561.2
3773,-468696,40.94744,,0.00111,561.2
,,561.2,,0.00111,561.2
3857,-468708,40.93412,,0.00111,561.2
,,561.2,,0.00111,561.2
3941,-468679,40.96631,,0.00111,561.2
,,561.2,,0.00111,561.2
4025,-468633,41.01737,,0.00111,561.2
,,561.2,,0.00111,561.2
4109,-468647,41.00183,,0.00111,561.2
,,561.2,,0.00111,561.2
4194,-468738,40.90082,,0.00111,561.2
,,561.2,,0.00111,561.2
4278,-468830,40.7987,,0.00111,561.2
,,561.2,,0.00111,561.2
4362,-468896,40.72544,,0.00111,561.2
,,561.2,,0.00111,561.2
4446,-468905,40.71545,,0.00111,561.2
,,561.2,,0.00111,561.2
4530,-468929,40.68881,,0.00111,561.2
,,561.2,,0.00111,561.2
4614,-468965,40.64885,,0.00111,561.2
,,561.2,,0.00111,561.2
4698,-468896,40.72544,,0.00111,561.2
,,561.2,,0.00111,561.2
4783,-468812,40.81868,,0.00111,561.2
,,561.2,,0.00111,561.2
4867,-468825,40.80425,,0.00111,561.2
,,561.2,,0.00111,561.2
4951,-468829,40.79981,,0.00111,561.2
,,561.2,,0.00111,561.2
5035,-468828,40.80092,,0.00111,561.2
,,561.2,,0.00111,561.2
5119,-468844,40.78316,,0.00111,561.2
,,561.2,,0.00111,561.2
5203,-468871,40.75319,,0.00111,561.2
,,561.2,,0.00111,561.2
5288,-468926,40.69214,,0.00111,561.2
,,561.2,,0.00111,561.2
5372,-468930,40.6877,,0.00111,561.2
,,561.2,,0.00111,561.2
5456,-468904,40.71656,,0.00111,561.2
,,561.2,,0.00111,561.2
5540,-468885,40.73765,,0.00111,561.2
,,561.2,,0.00111,561.2
5624,-468870,40.7543,,0.00111,561.2
,,561.2,,0.00111,561.2
5708,-468837,40.79093,,0.00111,561.2
,,561.2,,0.00111,561.2
5793,-468865,40.75985,,0.00111,561.2
,,561.2,,0.00111,561.2
5877,-468966,40.64774,,0.00111,561.2
