time,data
34,-433672
,
96,-435114
,
180,-434681
,
264,-434530
,
348,-434498
,
432,-434441
,
517,-434343
,
601,-434261
,
685,-434251
,
769,-434219
,
854,-434222
,
938,-434218
,
1022,-434183
,
1106,-434196
,
1190,-434174
,
1275,-434145
,
1359,-434149
,
1443,-434176
,
1527,-434180
,
1611,-434142
,
1696,-434158
,
1780,-434151
,
1864,-434155
,
1948,-434184
,
2033,-434166
,
2117,-434144
,
2201,-434117
,
2285,-434116
,
2369,-434155
,
2454,-434162
,
2538,-434130
,
2622,-434154
,
2706,-434153
,
2791,-434151
,
2875,-434136
,
2959,-434127
,
3043,-434131
,
3127,-434157
,
3212,-434149
,
3296,-434150
,
3380,-434162
,
3464,-434172
,
3548,-434143
,
3633,-434132
,
3717,-434106
,
3801,-434112
,
3885,-434115
,
3970,-434092
,
4054,-434079
,
4138,-434114
,
4222,-434132
,
4306,-434126
,
4391,-434125
,
4475,-434114
,
4559,-434119
,
4643,-434125
,
4727,-434132
,
4812,-434163
,
4896,-434110
,
4980,-434102
,
5064,-434115
,
5149,-434113
,
5233,-434095
,
5317,-434089
,
5401,-434148
,
5485,-434151
,
5570,-434135
,
5654,-434132
,
5738,-434105
,
5822,-434120
,
5906,-434109
,
5991,-434093
,
6075,-434086
,
6159,-434102
,
6243,-434130
,
6328,-434134
,
6412,-434129
,
6496,-434108
,
6580,-434118
,
6664,-434132
,
6749,-434100
,
6833,-434140
,
6917,-434113
,
7001,-434106
,
7086,-434101
,
7170,-434099
,
7254,-434099
,
7338,-434091
,
7422,-434060
,
7507,-434123
,
7591,-434133
,
7675,-434083
,
7759,-434101
,
7843,-434131
,
7928,-434131
,
8012,-434133
,
8096,-434120
,
8180,-434123
,
8265,-434112
,
8349,-434149
,
8433,-434122
,
8517,-434110
,
8601,-434146
,
8686,-434151
,
8770,-434157
,
8854,-434133
,
8938,-434107
,
9022,-434150
,
9107,-434154
,
9191,-434157
,
9275,-434129
,
9359,-434138
,
9444,-434164
,
