time(millis),values,Grams,Newtons,multiplier,offset
32,-426166,88.15574,,0.00111,561.2
113,-426098,88.23122,,0.00111,561.2
197,-426136,88.18904,,0.00111,561.2
282,-426148,88.17572,,0.00111,561.2
366,-426171,88.15019,,0.00111,561.2
450,-426229,88.08581,,0.00111,561.2
534,-426130,88.1957,,0.00111,561.2
618,-426010,88.3289,,0.00111,561.2
703,-426022,88.31558,,0.00111,561.2
787,-426020,88.3178,,0.00111,561.2
871,-426048,88.28672,,0.00111,561.2
955,-426109,88.21901,,0.00111,561.2
1039,-426159,88.16351,,0.00111,561.2
1124,-426191,88.12799,,0.00111,561.2
1208,-426197,88.12133,,0.00111,561.2
1292,-426198,88.12022,,0.00111,561.2
1376,-426205,88.11245,,0.00111,561.2
1460,-426257,88.05473,,0.00111,561.2
1544,-426271,88.03919,,0.00111,561.2
1629,-426257,88.05473,,0.00111,561.2
1713,-426260,88.0514,,0.00111,561.2
1797,-426278,88.03142,,0.00111,561.2
1881,-426278,88.03142,,0.00111,561.2
1965,-426286,88.02254,,0.00111,561.2
2050,-426287,88.02143,,0.00111,561.2
2134,-426278,88.03142,,0.00111,561.2
2218,-426272,88.03808,,0.00111,561.2
2302,-426284,88.02476,,0.00111,561.2
2386,-426275,88.03475,,0.00111,561.2
2471,-426300,88.007,,0.00111,561.2
2555,-426328,87.97592,,0.00111,561.2
2639,-426302,88.00478,,0.00111,561.2
2723,-426278,88.03142,,0.00111,561.2
2807,-426261,88.05029,,0.00111,561.2
2892,-426295,88.01255,,0.00111,561.2
2976,-426296,88.01144,,0.00111,561.2
3060,-426241,88.07249,,0.00111,561.2
3144,-426263,88.04807,,0.00111,561.2
3228,-426273,88.03697,,0.00111,561.2
3312,-426307,87.99923,,0.00111,561.2
3397,-426320,87.9848,,0.00111,561.2
3481,-426291,88.01699,,0.00111,561.2
3565,-426256,88.05584,,0.00111,561.2
3649,-426249,88.06361,,0.00111,561.2
3733,-426265,88.04585,,0.00111,561.2
3818,-426284,88.02476,,0.00111,561.2
3902,-426314,87.99146,,0.00111,561.2
3986,-426327,87.97703,,0.00111,561.2
4070,-426312,87.99368,,0.00111,561.2
4154,-426307,87.99923,,0.00111,561.2
4239,-426313,87.99257,,0.00111,561.2
4323,-426334,87.96926,,0.00111,561.2
4407,-426346,87.95594,,0.00111,561.2
4491,-426341,87.96149,,0.00111,561.2
4575,-426361,87.93929,,0.00111,561.2
4660,-426375,87.92375,,0.00111,561.2
4744,-426343,87.95927,,0.00111,561.2
4828,-426330,87.9737,,0.00111,561.2
4912,-426333,87.97037,,0.00111,561.2
4996,-426372,87.92708,,0.00111,561.2
5081,-426347,87.95483,,0.00111,561.2
5165,-426364,87.93596,,0.00111,561.2
5249,-426387,87.91043,,0.00111,561.2
5333,-426352,87.94928,,0.00111,561.2
5417,-426346,87.95594,,0.00111,561.2
5502,-426385,87.91265,,0.00111,561.2
5586,-426341,87.96149,,0.00111,561.2
5670,-426347,87.95483,,0.00111,561.2
5754,-426343,87.95927,,0.00111,561.2
5838,-426321,87.98369,,0.00111,561.2
5922,-426322,87.98258,,0.00111,561.2
6007,-426363,87.93707,,0.00111,561.2
6091,-426324,87.98036,,0.00111,561.2
6175,-426317,87.98813,,0.00111,561.2
6259,-426335,87.96815,,0.00111,561.2
6343,-426351,87.95039,,0.00111,561.2
6428,-426350,87.9515,,0.00111,561.2
6512,-426354,87.94706,,0.00111,561.2
6596,-426382,87.91598,,0.00111,561.2
6680,-426351,87.95039,,0.00111,561.2
6764,-426353,87.94817,,0.00111,561.2
6849,-426358,87.94262,,0.00111,561.2
6933,-426335,87.96815,,0.00111,561.2
7017,-426350,87.9515,,0.00111,561.2
7101,-426343,87.95927,,0.00111,561.2
