time,data,Grams,Newtons,multiplier,offset
17235,-422326,92.41814,,0.00111,561.2
17319,-422334,92.40926,,0.00111,561.2
17403,-422336,92.40704,,0.00111,561.2
17487,-422336,92.40704,,0.00111,561.2
17572,-422342,92.40038,,0.00111,561.2
17656,-422349,92.39261,,0.00111,561.2
17740,-422358,92.38262,,0.00111,561.2
17824,-422358,92.38262,,0.00111,561.2
17908,-422366,92.37374,,0.00111,561.2
17993,-422353,92.38817,,0.00111,561.2
18077,-422295,92.45255,,0.00111,561.2
18161,-422278,92.47142,,0.00111,561.2
18245,-422287,92.46143,,0.00111,561.2
18329,-422292,92.45588,,0.00111,561.2
18414,-422313,92.43257,,0.00111,561.2
18498,-422355,92.38595,,0.00111,561.2
18582,-422361,92.37929,,0.00111,561.2
18666,-422336,92.40704,,0.00111,561.2
18750,-422295,92.45255,,0.00111,561.2
18835,-422295,92.45255,,0.00111,561.2
18919,-422352,92.38928,,0.00111,561.2
19003,-422336,92.40704,,0.00111,561.2
19087,-422290,92.4581,,0.00111,561.2
19171,-422325,92.41925,,0.00111,561.2
19256,-422324,92.42036,,0.00111,561.2
19340,-422344,92.39816,,0.00111,561.2
19424,-422344,92.39816,,0.00111,561.2
19508,-422323,92.42147,,0.00111,561.2
19592,-422314,92.43146,,0.00111,561.2
19677,-422327,92.41703,,0.00111,561.2
19761,-422351,92.39039,,0.00111,561.2
19845,-422341,92.40149,,0.00111,561.2
19929,-422359,92.38151,,0.00111,561.2
20013,-422344,92.39816,,0.00111,561.2
20098,-422345,92.39705,,0.00111,561.2
20182,-422359,92.38151,,0.00111,561.2
20266,-422363,92.37707,,0.00111,561.2
20350,-422298,92.44922,,0.00111,561.2
20434,-422292,92.45588,,0.00111,561.2
20519,-422300,92.447,,0.00111,561.2
20603,-422289,92.45921,,0.00111,561.2
20687,-422296,92.45144,,0.00111,561.2
20771,-422324,92.42036,,0.00111,561.2
20855,-422301,92.44589,,0.00111,561.2
20940,-422347,92.39483,,0.00111,561.2
21024,-422323,92.42147,,0.00111,561.2
21108,-422310,92.4359,,0.00111,561.2
21192,-422350,92.3915,,0.00111,561.2
21276,-422347,92.39483,,0.00111,561.2
21361,-422332,92.41148,,0.00111,561.2
21445,-422287,92.46143,,0.00111,561.2
21529,-422305,92.44145,,0.00111,561.2
21613,-422319,92.42591,,0.00111,561.2
21697,-422327,92.41703,,0.00111,561.2
21782,-422338,92.40482,,0.00111,561.2
21866,-422301,92.44589,,0.00111,561.2
21950,-422283,92.46587,,0.00111,561.2
22034,-422294,92.45366,,0.00111,561.2
22118,-422266,92.48474,,0.00111,561.2
22203,-422270,92.4803,,0.00111,561.2
22287,-422311,92.43479,,0.00111,561.2
22371,-422294,92.45366,,0.00111,561.2
22455,-422298,92.44922,,0.00111,561.2
22539,-422339,92.40371,,0.00111,561.2
22624,-422313,92.43257,,0.00111,561.2
22708,-422283,92.46587,,0.00111,561.2
22792,-422282,92.46698,,0.00111,561.2
22876,-422271,92.47919,,0.00111,561.2
22960,-422286,92.46254,,0.00111,561.2
23045,-422289,92.45921,,0.00111,561.2
23129,-422264,92.48696,,0.00111,561.2
23213,-422305,92.44145,,0.00111,561.2
23297,-422323,92.42147,,0.00111,561.2
23381,-422307,92.43923,,0.00111,561.2
23466,-422293,92.45477,,0.00111,561.2
23550,-422279,92.47031,,0.00111,561.2
23634,-422283,92.46587,,0.00111,561.2
23718,-422326,92.41814,,0.00111,561.2
23802,-422305,92.44145,,0.00111,561.2
23886,-422245,92.50805,,0.00111,561.2
23971,-422305,92.44145,,0.00111,561.2
24055,-422330,92.4137,,0.00111,561.2
24139,-422301,92.44589,,0.00111,561.2
24223,-422248,92.50472,,0.00111,561.2
24307,-422246,92.50694,,0.00111,561.2
24392,-422217,92.53913,,0.00111,561.2
24476,-422212,92.54468,,0.00111,561.2
24560,-422246,92.50694,,0.00111,561.2
24644,-422238,92.51582,,0.00111,561.2
24728,-422226,92.52914,,0.00111,561.2
24813,-422233,92.52137,,0.00111,561.2
24897,-422217,92.53913,,0.00111,561.2
24981,-422191,92.56799,,0.00111,561.2
25065,-422196,92.56244,,0.00111,561.2
25149,-422239,92.51471,,0.00111,561.2
25234,-422233,92.52137,,0.00111,561.2
25318,-422259,92.49251,,0.00111,561.2
25402,-422239,92.51471,,0.00111,561.2
25486,-422220,92.5358,,0.00111,561.2
25570,-422247,92.50583,,0.00111,561.2
25655,-422185,92.57465,,0.00111,561.2
25739,-422157,92.60573,,0.00111,561.2
25823,-422158,92.60462,,0.00111,561.2
25907,-422188,92.57132,,0.00111,561.2
25991,-422215,92.54135,,0.00111,561.2
26076,-422187,92.57243,,0.00111,561.2
26160,-422147,92.61683,,0.00111,561.2
26244,-422114,92.65346,,0.00111,561.2
26328,-422143,92.62127,,0.00111,561.2
26412,-422143,92.62127,,0.00111,561.2
26497,-422141,92.62349,,0.00111,561.2
26581,-422133,92.63237,,0.00111,561.2
26665,-422134,92.63126,,0.00111,561.2
26749,-422139,92.62571,,0.00111,561.2
26833,-422151,92.61239,,0.00111,561.2
26918,-422149,92.61461,,0.00111,561.2
27002,-422228,92.52692,,0.00111,561.2
27086,-422232,92.52248,,0.00111,561.2
27170,-422225,92.53025,,0.00111,561.2
27254,-422213,92.54357,,0.00111,561.2
27339,-422169,92.59241,,0.00111,561.2
27423,-422165,92.59685,,0.00111,561.2
27507,-422189,92.57021,,0.00111,561.2
27591,-422184,92.57576,,0.00111,561.2
27675,-422170,92.5913,,0.00111,561.2
27760,-422159,92.60351,,0.00111,561.2
27844,-422147,92.61683,,0.00111,561.2
27928,-422127,92.63903,,0.00111,561.2
28012,-422136,92.62904,,0.00111,561.2
28096,-422146,92.61794,,0.00111,561.2
28181,-422141,92.62349,,0.00111,561.2
28265,-422107,92.66123,,0.00111,561.2
28349,-422149,92.61461,,0.00111,561.2
28433,-422192,92.56688,,0.00111,561.2
28517,-422143,92.62127,,0.00111,561.2
28602,-422111,92.65679,,0.00111,561.2
28686,-422085,92.68565,,0.00111,561.2
28770,-422050,92.7245,,0.00111,561.2
28854,-422067,92.70563,,0.00111,561.2
28938,-422049,92.72561,,0.00111,561.2
29023,-422071,92.70119,,0.00111,561.2
